airline_id,name,iata,icao,callsign,country,is_active
10798,Bobb Air Freight,1,\N,,Germany,Y
9335,TUIfly (X3),11,\N,,Germany,Y
16901,12 North,12,N12,12N,India,Y
19290,Eastern Atlantic Virtual Airlines,13,EAV,EAVA,United States,Y
1213,Air Salone,20,RNE,AIR SALONE,Sierra Leone,Y
18617,Euro Jet,24,\N,,Germany,Y
13781,88,47,VVN,,Cyprus,Y
13936,Royal European Airlines,69,\N,,United Kingdom,Y
17859,Southjet,76,SJS,,United States,Y
17860,Southjet connect,77,ZCS,,United States,Y
17862,Southjet cargo,78,XAN,,United States,Y
19830,All Australia,88,8K8,,Australia,Y
10372,Ciao Air,99,\N,,Italy,Y
1,Private flight,-,N/A,,,Y
9577,ELK Airways,--,ELK,,Estonia,Y
5533,Tyrolean Airways,\N,TYR,TYROLEAN,\N,Y
13947,Tom\\'s & co airliners,&T,T&O,T&,France,Y
13398,Whitaker Air,^^,\N,,Australia,Y
1542,Blue Air,0B,JOR,BLUE TRANSPORT,Romania,Y
1983,Darwin Airline,0D,DWT,DARWIN,Switzerland,Y
20224,Global Airlines,0G,GA0,,Argentina,Y
20074,All America MX,0M,0MM,,Mexico,Y
21131,All America BOPY,0P,PYB,BOPY,Paraguay,Y
17115,Copenhagen Express,0X,CX0,Copex,Denmark,Y
20073,All America CO,0Y,7ZC,,Colombia,Y
13076,OneChina,1C,1CH,,China,Y
20268,TransRussiaAirlines,1E,RGG,,Russia,Y
16261,CB Airways UK ( Interliging Flights ),1F,CIF,,United Kingdom,Y
3641,NetJets,1I,EJA,EXECJET,United States,Y
3743,Novair,1I,NVR,NAVIGATOR,Sweden,Y
20995,BudgetAir,1K,BG1,,Germany,Y
19971,All America CL,1R,R1R,,Chile,Y
3,1Time Airline,1T,RNX,NEXTIME,South Africa,Y
19927,Island Express Air,1X,\N,Abby Air,Canada,Y
19977,All America BR,1Y,A9B,,Brazil,Y
410,Aerocondor,2B,ARD,AEROCONDOR,Portugal,Y
18477,Aero VIP (2D),2D,\N,,Portugal,Y
2470,Frontier Flying Service,2F,FTA,FRONTIER-AIR,United States,Y
8359,Star Peru (2I),2I,\N,,Peru,Y
470,Air Burkina,2J,VBW,BURKINA,Burkina Faso,Y
1338,Aerolineas Galapagos (Aerogal),2K,GLG,AEROGAL,Ecuador,Y
2750,Helvetic Airways,2L,OAW,HELVETIC,Switzerland,Y
3529,Moldavian Airlines,2M,MDV,MOLDAVIAN,Moldova,Y
3652,NextJet,2N,NTJ,NEXTJET,Sweden,Y
897,Air Philippines,2P,GAP,ORIENT PACIFIC,Philippines,Y
149,Air Cargo Carriers,2Q,SNC,NIGHT CARGO,United States,Y
19970,All America AR,2R,M7A,,Argentina,Y
21270,Air Carnival,2S,\N,,India,Y
2663,Haiti Ambassador Airlines,2T,HAM,,Haiti,Y
909,Air Guinee Express,2U,GIP,FUTURE EXPRESS,Guinea,Y
5401,Welcome Air,2W,WLC,WELCOMEAIR,Austria,Y
19814,Regionalia Uruguay,2X,2K2,,Uruguay,Y
15953,JobAir,3B,\N,,Czech Republic,Y
10739,Air Choice One,3E,\N,,United States,Y
16262,Fly Colombia ( Interliging Flights ),3F,3FF,,Colombia,Y
595,Atlant-Soyuz Airlines,3G,AYZ,ATLANT-SOYUZ,Russia,Y
9851,Air Comet Chile,3I,\N,,Chile,Y
3021,Jetstar Asia Airways,3K,JSA,JETSTAR ASIA,Singapore,Y
2916,Intersky,3L,ISK,INTERSKY,Austria,Y
20710,Silver Airways (3M),3M,\N,Silver Wings,United States,Y
9818,Air Arabia Maroc,3O,\N,Air Arabia,Morocco,Y
5002,Tiara Air,3P,TNM,TIARA,Aruba,Y
1771,Yunnan Airlines,3Q,CYH,YUNNAN,China,Y
3545,Moskovia Airlines,3R,GAI,GROMOV AIRLINE,Russia,Y
11741,Air Antilles Express,3S,\N,GREEN BIRD,Guadeloupe,Y
5187,Turan Air,3T,URN,TURAN,Azerbaijan,Y
4608,Sichuan Airlines,3U,CSC,SI CHUAN,China,Y
19541,Malawian Airlines,3W,\N,,Malawi,Y
263,Air Kiribati,4A,AKL,,Kiribati,Y
20565,Boutique Air (Priv),4B,BTQ,,United States,Y
411,Aires,4C,ARE, Aerovias de Integracion Regional, S.A.,Y
442,Air Sinai,4D,ASD,AIR SINAI,Egypt,Y
2524,Gazpromavia,4G,GZP,GAZPROMAVIA,Russia,Y
8463,United Airways,4H,UBD,UNITED BANGLADESH,Bangladesh,Y
29,Askari Aviation,4K,AAS,AL-AAS,Pakistan,Y
11873,Euroline,4L,MJX,GEO-LINE,Georgia,Y
3201,LAN Argentina,4M,DSM,LAN AR,Argentina,Y
341,Air North Charter - Canada,4N,ANT,AIR NORTH,Canada,Y
17885,Interjet (ABC Aerolineas),4O,\N,INTERJET,Mexico,Y
11805,Business Aviation,4P,\N,AFRICAN BUSINESS,Congo (Kinshasa),Y
10758,Safi Airlines,4Q,\N,,Afghanistan,Y
2674,Hamburg International,4R,HHI,HAMBURG JET,Germany,Y
19908,Vuola Italia,4S,VI4,,Italy,Y
1401,Belair Airlines,4T,BHP,BELAIR,Switzerland,Y
2548,Germanwings,4U,GWI,GERMAN WINGS,Germany,Y
16724,Red Jet Mexico,4X,\N,,Mexico,Y
15930,Airlink (SAA),4Z,\N,,South Africa,Y
20657,Bassaka airlines,5B,BSX,5B,Cambodia,Y
1581,CAL Cargo Air Lines,5C,ICL,CAL,Israel,Y
165,Aerolitoral,5D,SLI,COSTERA,Mexico,Y
2051,DonbassAero,5D,UDC,DONBASS AERO,Ukraine,Y
13218,SGA Airlines,5E,\N,SIAM,Thailand,Y
4496,Skyservice Airlines,5G,SSV,SKYTOUR,Canada,Y
8576,Fly540,5H,FFV,SWIFT TANGO,Kenya,Y
1683,Cebu Pacific,5J,CEB,CEBU AIR,Philippines,Y
17909,Hi Fly (5K),5K,\N,,Portugal,Y
1231,Aerosur,5L,RSU,AEROSUR,Bolivia,Y
4436,Sibaviatrans,5M,SIB,SIBAVIA,Russia,Y
503,Aeroflot-Nord,5N,AUL,DVINA,Russia,Y
10650,Pal airlines,5P,\N,,Chile,Y
18232,BQB Lineas Aereas,5Q,\N,,Uruguay,Y
1623,Canadian North,5T,MPE,EMPRESS,Canada,Y
112,Astraeus,5W,AEU,FLYSTAR,United Kingdom,Y
928,Atlas Air,5Y,GTI,GIANT,United States,Y
18946,VivaColombia,5Z,VVC,,Colombia,Y
1876,Consorcio Aviaxsa,6A,CHP,AVIACSA,Mexico,Y
5122,TUIfly Nordic,6B,BLX,BLUESCAN,Sweden,Y
19828,Vuela Cuba,6C,6CC,,Cuba,Y
10845,Pelita,6D,\N,,Indonesia,Y
2850,IndiGo Airlines,6E,IGO,IFLY,India,Y
16956,MAT Airways,6F,MKD,,Macedonia,Y
565,Air Wales,6G,AWW,RED DRAGON,United Kingdom,Y
2954,Israir,6H,ISR,ISRAIR,Israel,Y
17095,Fly 6ix,6I,\N,,Sierra Leone,Y
4781,Skynet Asia Airways,6J,SNJ,NEWSKY,Japan,Y
1200,Asian Spirit,6K,RIT,ASIAN SPIRIT,Philippines,Y
12961,Gryphon Airlines,6P,\N,,United States,Y
1340,Alrosa Mirny Air Enterprise,6R,DRU,MIRNY,Russia,Y
5813,Air Mandalay,6T,\N,Six Tango,Burma,Y
